Date,AAPL,ABBV,ABT,ADBE,ADI,ADP,AEP,AMAT,AMD,AMGN,AMT,AMZN,APD,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CB,CCI,CL,CMCSA,COP,COST,CRM,CSCO,CVX,D,DE,DIS,ECL,EOG,EQIX,F,FCX,GE,GM,GOOGL,GS,HD,HON,IBM,ICE,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MAR,MCD,MET,META,MMM,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLD,PRU,PYPL,QCOM,RTX,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,T,TGT,TJX,TMO,TRV,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2021-01-04,125.63249206542969,84.73628234863281,97.86849975585938,485.3399963378906,132.62266540527344,148.96466064453125,66.37443542480469,82.89521026611328,92.30000305175781,189.75967407226562,185.9698944091797,159.3314971923828,234.00648498535156,110.07241821289062,202.72000122070312,26.193613052368164,84.55844116210938,620.30126953125,49.26243591308594,49.55690002441406,164.62399291992188,138.26158142089844,118.31531524658203,73.6252212524414,39.683631896972656,32.33755874633789,358.10791015625,216.56333923339844,37.68980407714844,66.63201141357422,57.521240234375,249.35726928710938,172.27198791503906,201.28321838378906,38.22119903564453,619.5425415039062,6.248021125793457,25.220813751220703,50.874080657958984,38.8283805847168,85.49298095703125,231.925048828125,228.6915740966797,183.14657592773438,94.41244506835938,105.17998504638672,44.9029426574707,356.8703308105469,133.6282958984375,109.00052642822266,44.52708053588867,239.18504333496094,156.30088806152344,295.056396484375,144.0404052734375,340.0093688964844,119.61656188964844,183.93202209472656,38.68246078491211,266.5988464355469,117.86029815673828,64.57972717285156,57.307857513427734,207.56539916992188,72.20891571044922,63.91714096069336,52.2859992980957,127.10728454589844,105.36599731445312,13.046198844909668,58.894466400146484,119.99991607666016,27.42729949951172,118.965576171875,81.57728576660156,57.75322341918945,229.36216735839844,131.2849578857422,60.35856628417969,90.4773941040039,48.94214630126953,229.02578735351562,19.39879035949707,47.951393127441406,61.41509246826172,300.36810302734375,15.334671020507812,150.46189880371094,61.466548919677734,464.38311767578125,121.31935119628906,243.2566680908203,138.40667724609375,315.901611328125,178.8086395263672,127.2098617553711,36.531829833984375,208.75157165527344,41.52804946899414,26.040956497192383,45.34574890136719,33.2513313293457
2021-01-05,127.1857681274414,85.61247253417969,99.07939910888672,485.69000244140625,134.99317932128906,148.55026245117188,66.28489685058594,85.50028991699219,92.7699966430664,190.6805419921875,186.90992736816406,160.92550659179688,246.3872833251953,110.6598892211914,211.6300048828125,26.39423370361328,85.4958267211914,623.58251953125,49.39888381958008,50.842369079589844,165.9706268310547,138.37237548828125,118.78094482421875,73.79107666015625,39.446861267089844,34.19267272949219,353.9537048339844,217.75279235839844,37.70695495605469,68.43331146240234,56.828407287597656,255.5436553955078,173.00885009765625,203.3964080810547,41.33347702026367,618.6299438476562,6.343354225158691,26.363834381103516,52.331787109375,39.93063735961914,86.18241882324219,237.1149139404297,230.53724670410156,183.59573364257812,96.08831024169922,105.40278625488281,45.75271987915039,354.1531066894531,135.1993865966797,109.5936279296875,44.0375862121582,242.93716430664062,157.07530212402344,298.6092834472656,144.52537536621094,336.072265625,120.88204956054688,185.03443908691406,39.16096115112305,268.61114501953125,117.6613998413086,64.69140625,58.28072738647461,207.76564025878906,75.33909606933594,64.39080047607422,52.08000183105469,128.13250732421875,106.39399719238281,13.335951805114746,58.16462707519531,120.3575668334961,27.71043586730957,119.72517395019531,81.70468139648438,58.312599182128906,232.31919860839844,134.75930786132812,61.23179626464844,90.77576446533203,48.951419830322266,227.88299560546875,20.441635131835938,48.26643753051758,61.68207550048828,296.041748046875,15.240911483764648,152.78277587890625,61.38373947143555,470.190185546875,120.31768035888672,245.0366668701172,139.42196655273438,311.6534118652344,181.00180053710938,125.439208984375,36.65061569213867,205.63600158691406,41.3375129699707,26.768699645996094,45.104366302490234,34.853797912597656
2021-01-06,122.9045181274414,84.87293243408203,98.87310791015625,466.30999755859375,135.60166931152344,148.03009033203125,66.81401824951172,86.67401885986328,90.33000183105469,195.27679443359375,181.98123168945312,156.91900634765625,253.00091552734375,114.75357055664062,211.02999877929688,28.042783737182617,87.9082260131836,641.3674926757812,49.51926803588867,53.767662048339844,175.2072296142578,144.95626831054688,115.59025573730469,71.80924224853516,39.90461349487305,35.55744171142578,348.56536865234375,212.47410583496094,38.067054748535156,70.63574981689453,58.042823791503906,270.52520751953125,173.66815185546875,211.72723388671875,42.20737838745117,598.4307250976562,6.482686519622803,28.027257919311523,55.19862365722656,41.19585037231445,85.33201599121094,249.91017150878906,231.85433959960938,186.94247436523438,98.48785400390625,107.44511413574219,46.19568634033203,346.5971374511719,136.4716796875,114.73966979980469,42.63662338256836,250.912841796875,155.18646240234375,297.9586486816406,146.45632934570312,336.1981201171875,124.04576873779297,184.61447143554688,41.494667053222656,261.01788330078125,119.45124816894531,65.7124252319336,61.79484558105469,202.37840270996094,75.19283294677734,67.542724609375,50.04899978637695,129.1486053466797,101.44999694824219,12.549758911132812,58.02553939819336,118.88533782958984,27.47199249267578,120.98542785644531,79.76803588867188,61.7672119140625,224.3283233642578,133.6630859375,61.990352630615234,91.4339370727539,53.25565719604492,228.67120361328125,21.57286262512207,49.445838928222656,63.0911865234375,296.4112243652344,15.537816047668457,160.02513122558594,64.07939910888672,477.56207275390625,124.4049072265625,251.9933319091797,140.11306762695312,324.7323303222656,184.78916931152344,125.06644439697266,38.820980072021484,203.82418823242188,41.83853530883789,28.662580490112305,45.3859748840332,35.743167877197266
2021-01-07,127.09840393066406,85.78128814697266,99.83287048339844,477.739990234375,141.3327178955078,148.86769104003906,65.03131103515625,90.23335266113281,95.16000366210938,195.92144775390625,184.19151306152344,158.10800170898438,248.91766357421875,113.84587097167969,212.7100067138672,28.66208267211914,87.51905822753906,654.8585205078125,50.048980712890625,54.402164459228516,175.54159545898438,143.92208862304688,116.36885070800781,71.4163589477539,39.983543395996094,36.529937744140625,346.58709716796875,214.27296447753906,38.547176361083984,70.96611785888672,56.797264099121094,279.25518798828125,173.1446075439453,212.01840209960938,44.93635940551758,607.3851928710938,6.6440229415893555,28.96583366394043,54.76130294799805,41.52173614501953,87.8807601928711,255.24884033203125,230.71923828125,187.25071716308594,98.25933837890625,107.51008605957031,47.18107986450195,353.92279052734375,136.93270874023438,118.50765228271484,42.16400146484375,250.1919403076172,156.6125030517578,293.2669982910156,147.03109741210938,338.8616027832031,124.96611022949219,185.47193908691406,41.62058639526367,266.40057373046875,116.38594055175781,67.02062225341797,62.851593017578125,208.13748168945312,77.14309692382812,68.28336334228516,50.888999938964844,131.50746154785156,102.28199768066406,13.275513648986816,58.48921585083008,118.50272369384766,27.613569259643555,119.85466003417969,80.96570587158203,61.49507141113281,232.44776916503906,137.65023803710938,61.5493278503418,90.69676971435547,54.78627395629883,232.71693420410156,21.988239288330078,49.38928985595703,63.13569259643555,296.6005859375,15.579483032226562,161.87168884277344,64.30941009521484,492.4437561035156,124.37806701660156,272.0133361816406,143.2869873046875,329.93865966796875,187.3610382080078,123.48212432861328,39.59725570678711,204.96499633789062,41.744384765625,29.311418533325195,45.38286590576172,36.02360534667969
2021-01-08,128.19541931152344,86.23148345947266,100.11089324951172,485.1000061035156,142.35906982421875,150.8073272705078,64.453369140625,91.18758392333984,94.58000183105469,199.66371154785156,188.17173767089844,159.13499450683594,249.31019592285156,113.95816802978516,209.89999389648438,28.374231338500977,89.14803314208984,660.1206665039062,50.15330505371094,53.86655044555664,175.5688018798828,143.49729919433594,117.5977783203125,71.89653778076172,40.67808151245117,36.529937744140625,348.489990234375,218.263916015625,38.63290786743164,71.6426010131836,56.984100341796875,273.832763671875,173.25123596191406,208.2709197998047,45.12800598144531,619.453125,6.600020885467529,28.947248458862305,55.101436614990234,41.27253723144531,89.04418182373047,253.87474060058594,233.17144775390625,184.9784393310547,97.9089126586914,109.19963836669922,46.69291305541992,360.0964660644531,136.6509552001953,118.63848876953125,43.1092414855957,249.89617919921875,157.1602783203125,287.7449645996094,148.23458862304688,342.7262268066406,124.33338165283203,188.87550354003906,41.47789001464844,265.24078369140625,114.26009368896484,66.23091125488281,63.11160659790039,209.4055938720703,75.49510955810547,69.867919921875,51.040000915527344,132.77767944335938,105.9280014038086,13.208609580993652,58.77670669555664,119.925048828125,27.665727615356445,119.80286407470703,82.0529556274414,61.003719329833984,239.7859344482422,138.48129272460938,61.61989974975586,92.73272705078125,54.7120475769043,230.7035675048828,21.9528865814209,49.736656188964844,64.14431762695312,294.599609375,15.4720458984375,163.9893341064453,64.60382080078125,504.22515869140625,124.89680480957031,293.3399963378906,146.03428649902344,328.4562683105469,192.73390197753906,123.00835418701172,39.06654739379883,206.53713989257812,41.22373962402344,29.100982666015625,45.37670135498047,36.424224853515625
2021-01-11,125.21507263183594,87.63823699951172,99.42022705078125,474.239990234375,143.77593994140625,148.5679168701172,64.12777709960938,93.47776794433594,97.25,198.89349365234375,182.00662231445312,155.7104949951172,247.03297424316406,113.2844009399414,206.7899932861328,28.845247268676758,86.7930679321289,669.0479125976562,52.143707275390625,54.74826431274414,175.2072296142578,142.32461547851562,116.83445739746094,71.71320343017578,40.66230392456055,37.06929016113281,342.90386962890625,214.53836059570312,38.8901252746582,72.0516128540039,56.571510314941406,274.7737121582031,173.63905334472656,207.62289428710938,45.69526672363281,610.4447631835938,6.820021629333496,28.175939559936523,55.63593673706055,43.141578674316406,86.98676300048828,257.1567687988281,235.02578735351562,183.5076446533203,97.94702911376953,109.21823120117188,46.59345626831055,358.0578308105469,136.07888793945312,120.40907287597656,42.36655044555664,247.24378967285156,175.60472106933594,289.0976867675781,149.37525939941406,337.2538757324219,123.34591674804688,187.44053649902344,41.46949768066406,254.60418701171875,113.28633880615234,67.80235290527344,63.79093551635742,207.37472534179688,76.71402740478516,68.6278305053711,49.90999984741211,133.41273498535156,104.61199951171875,13.551589012145996,58.45211410522461,118.18663787841797,28.14259147644043,118.99142456054688,80.40509033203125,61.06418991088867,234.88063049316406,138.01272583007812,61.566978454589844,91.79373168945312,55.89015197753906,232.6567840576172,22.085451126098633,49.445838928222656,61.659828186035156,287.70452880859375,15.392065048217773,165.41236877441406,62.90177917480469,505.2585754394531,122.91129302978516,270.39666748046875,146.16229248046875,326.0700988769531,191.43914794921875,125.70326232910156,39.08238220214844,204.08302307128906,40.98125457763672,29.14483070373535,45.580936431884766,37.529930114746094
2021-01-12,125.040283203125,88.24918365478516,97.62628936767578,471.6499938964844,144.4934844970703,149.05279541015625,63.36259460449219,95.43400573730469,95.36000061035156,198.07298278808594,181.99815368652344,156.04150390625,246.97190856933594,113.80844116210938,208.41000366210938,29.359874725341797,85.81896209716797,678.6994018554688,52.512901306152344,54.93777084350586,178.5331573486328,144.61463928222656,114.84982299804688,71.81797790527344,39.470542907714844,38.752784729003906,343.08282470703125,211.85479736328125,39.2587890625,73.42027282714844,55.68405532836914,281.45404052734375,170.63343811035156,209.56707763671875,47.86466598510742,605.2026977539062,7.172022342681885,28.798568725585938,57.23941421508789,45.83493423461914,86.05264282226562,264.4908142089844,239.44503784179688,183.96563720703125,98.42691040039062,109.4131851196289,48.13031005859375,351.6437072753906,135.0200958251953,122.30177307128906,42.29059982299805,246.40283203125,168.8616180419922,292.667724609375,151.77322387695312,332.1398010253906,122.12835693359375,185.1394500732422,42.141056060791016,248.9042205810547,114.1846694946289,66.2787857055664,63.57288360595703,204.9337615966797,77.48439025878906,68.67948150634766,49.42499923706055,131.5982208251953,102.64199829101562,13.415542602539062,57.88642120361328,117.63768768310547,27.70298194885254,118.3008804321289,80.44756317138672,62.20566940307617,235.01910400390625,136.54518127441406,63.08409881591797,90.23165130615234,56.77141189575195,233.99266052246094,23.101787567138672,47.51518249511719,63.358184814453125,284.6939697265625,15.328094482421875,168.64810180664062,62.92939758300781,490.9083251953125,125.58541870117188,283.14666748046875,147.00697326660156,323.0150451660156,192.57533264160156,127.29533386230469,39.32793045043945,200.21975708007812,40.83860778808594,29.758588790893555,46.100852966308594,38.36322021484375
2021-01-13,127.06928253173828,90.3955078125,100.59527587890625,472.04998779296875,143.93939208984375,145.17352294921875,63.614952087402344,93.56364440917969,91.77999877929688,199.03579711914062,183.31076049804688,158.29449462890625,253.61167907714844,114.53834533691406,207.2100067138672,29.185428619384766,85.2750473022461,680.4534912109375,51.95109176635742,55.0943489074707,177.0419464111328,145.08554077148438,116.55205535888672,72.01876068115234,39.588924407958984,38.43405532836914,345.67340087890625,214.46957397460938,38.8901252746582,73.34950256347656,56.23676681518555,280.6434326171875,170.7594451904297,203.7720947265625,46.354515075683594,617.359619140625,7.172022342681885,28.398971557617188,56.21902847290039,46.70716094970703,86.53902435302734,265.129638671875,237.46929931640625,182.32745361328125,96.68251037597656,109.39459991455078,51.4842414855957,350.9609375,134.81520080566406,122.41516876220703,42.332794189453125,247.42864990234375,175.18922424316406,295.7840881347656,152.527587890625,335.4426574707031,121.28472137451172,185.5681610107422,42.250186920166016,249.449462890625,114.02693939208984,65.6805419921875,63.37158966064453,206.27816772460938,77.92321014404297,70.4793472290039,50.77899932861328,129.77462768554688,104.34200286865234,13.462300300598145,57.55257034301758,118.60250854492188,27.46454620361328,118.48213958740234,81.0421371459961,62.16785430908203,242.19900512695312,139.17086791992188,62.18439483642578,90.2930908203125,55.203697204589844,230.50411987304688,22.500822067260742,48.234127044677734,65.90941619873047,281.2600402832031,15.253448486328125,166.71681213378906,62.680965423583984,493.802001953125,127.22212982177734,284.8033447265625,146.24761962890625,320.9090270996094,190.78736877441406,126.67404174804688,39.217041015625,200.6894989013672,40.69596481323242,29.635831832885742,45.630455017089844,38.79588317871094
2021-01-14,125.14708709716797,90.785888671875,99.1003189086914,463.2699890136719,144.82948303222656,142.74896240234375,64.16846466064453,100.95905303955078,90.79000091552734,202.31765747070312,182.06588745117188,156.37350463867188,249.7551727294922,115.8296890258789,209.91000366210938,29.647724151611328,85.28170776367188,648.8196411132812,52.98643112182617,56.86600112915039,178.40660095214844,143.88511657714844,118.13211059570312,71.5385971069336,39.131160736083984,39.12053680419922,341.340087890625,211.93344116210938,38.71006774902344,75.11144256591797,55.287025451660156,282.1620788574219,168.15135192871094,199.5174560546875,48.009071350097656,616.9570922851562,7.458024024963379,29.72785186767578,56.65633010864258,49.390926361083984,85.73021697998047,269.44439697265625,232.52159118652344,183.7278594970703,98.24408721923828,107.33372497558594,53.563499450683594,351.4898681640625,137.1717987060547,123.13037872314453,41.54792404174805,243.69500732421875,176.31304931640625,297.45355224609375,153.03060913085938,316.6524353027344,123.60476684570312,182.4270782470703,43.29111862182617,243.5016632080078,114.11609649658203,65.544921875,64.13480377197266,203.11253356933594,79.27864837646484,71.0735855102539,50.08599853515625,128.19595336914062,102.86799621582031,13.132500648498535,57.12599182128906,117.91217041015625,27.382579803466797,117.22190856933594,81.11860656738281,63.43027877807617,239.3903350830078,142.2032012939453,62.57251739501953,89.35408782958984,55.03672790527344,227.5410614013672,22.942705154418945,47.69289779663086,70.41858673095703,275.9692077636719,15.615992546081543,167.72483825683594,62.579769134521484,489.07769775390625,127.28473663330078,281.6666564941406,146.50355529785156,316.8324890136719,190.39100646972656,126.95360565185547,39.03486633300781,193.50933837890625,40.68170928955078,30.468788146972656,45.4819221496582,40.31023025512695
2021-01-15,123.42874908447266,89.8831558227539,100.23503112792969,458.0799865722656,143.2764129638672,142.052490234375,65.50345611572266,98.42076873779297,88.20999908447266,205.52410888671875,186.21548461914062,155.21249389648438,250.33103942871094,114.30439758300781,204.32000732421875,28.792909622192383,82.80599975585938,635.0841674804688,53.40376281738281,52.92715835571289,175.89410400390625,143.3033905029297,120.03277587890625,71.48619079589844,38.428714752197266,36.8731689453125,341.1611022949219,209.51527404785156,38.950138092041016,72.43704986572266,56.11220169067383,275.2210388183594,166.221923828125,197.95838928222656,45.65644836425781,633.1398315429688,7.2086920738220215,28.20382308959961,55.05284881591797,47.895694732666016,85.56676483154297,263.44061279296875,238.80384826660156,181.40274047851562,97.8022689819336,106.93453216552734,52.05377960205078,356.7788391113281,136.8729705810547,120.92369079589844,41.10062789916992,238.51959228515625,180.16629028320312,297.3079528808594,153.88375854492188,313.09783935546875,121.56272888183594,183.66078186035156,42.93016052246094,249.17189025878906,113.5263442993164,66.5101089477539,63.103206634521484,202.759765625,78.71306610107422,70.65161895751953,49.79800033569336,127.66976928710938,102.75199890136719,12.793499946594238,57.292911529541016,117.60441589355469,27.345335006713867,116.34141540527344,82.9703140258789,63.203495025634766,237.14537048339844,138.87913513183594,61.03773498535156,89.80165100097656,54.49869918823242,229.6842041015625,22.014751434326172,48.19373321533203,68.97239685058594,275.7618713378906,15.55201244354248,165.0057373046875,62.98457717895508,495.2095031738281,128.10755920410156,275.38665771484375,144.35348510742188,317.528564453125,190.7785186767578,123.40445709228516,38.33781051635742,193.25050354003906,40.924198150634766,28.092666625976562,44.760860443115234,38.371238708496094
