date,sp500,ftse,dax
2015-01-02,6547.7998046875,9764.73046875,2058.199951171875
2015-01-05,6417.2001953125,9473.16015625,2020.5799560546875
2015-01-06,6366.5,9469.66015625,2002.6099853515625
2015-01-07,6419.7998046875,9518.1796875,2025.9000244140625
2015-01-08,6570.0,9837.6103515625,2062.139892578125
2015-01-09,6501.10009765625,9648.5,2044.81005859375
2015-01-12,6501.39990234375,9781.900390625,2028.260009765625
2015-01-13,6542.2001953125,9941.0,2023.030029296875
2015-01-14,6388.5,9817.080078125,2011.27001953125
2015-01-15,6498.7998046875,10032.6103515625,1992.6700439453125
2015-01-16,6550.2998046875,10167.76953125,2019.4200439453125
2015-01-20,6620.10009765625,10257.1298828125,2022.550048828125
2015-01-21,6728.0,10299.23046875,2032.1199951171875
2015-01-22,6796.60009765625,10435.6201171875,2063.14990234375
2015-01-23,6832.7998046875,10649.580078125,2051.820068359375
2015-01-26,6852.39990234375,10798.330078125,2057.090087890625
2015-01-27,6811.60009765625,10628.580078125,2029.550048828125
2015-01-28,6825.89990234375,10710.9697265625,2002.1600341796875
2015-01-29,6810.60009765625,10737.8701171875,2021.25
2015-01-30,6749.39990234375,10694.3203125,1994.989990234375
2015-02-02,6782.60009765625,10828.009765625,2020.8499755859375
2015-02-03,6871.7998046875,10890.9501953125,2050.030029296875
2015-02-04,6860.0,10911.3203125,2041.510009765625
2015-02-05,6865.89990234375,10905.41015625,2062.52001953125
2015-02-06,6853.39990234375,10846.3896484375,2055.469970703125
2015-02-09,6837.2001953125,10663.509765625,2046.739990234375
2015-02-10,6829.10009765625,10753.830078125,2068.590087890625
2015-02-11,6818.2001953125,10752.1103515625,2068.530029296875
2015-02-12,6828.10009765625,10919.650390625,2088.47998046875
2015-02-13,6873.5,10963.400390625,2096.989990234375
2015-02-17,6898.10009765625,10895.6201171875,2100.340087890625
2015-02-18,6898.10009765625,10961.0,2099.679931640625
2015-02-19,6888.89990234375,11001.9404296875,2097.449951171875
2015-02-20,6915.2001953125,11050.6396484375,2110.300048828125
2015-02-23,6912.2001953125,11130.919921875,2109.659912109375
2015-02-24,6949.60009765625,11205.740234375,2115.47998046875
2015-02-25,6935.39990234375,11210.26953125,2113.860107421875
2015-02-26,6949.7001953125,11327.1904296875,2110.739990234375
2015-02-27,6946.7001953125,11401.66015625,2104.5
2015-03-02,6940.60009765625,11410.3603515625,2117.389892578125
2015-03-03,6889.10009765625,11280.3603515625,2107.780029296875
2015-03-04,6919.2001953125,11390.3798828125,2098.530029296875
2015-03-05,6961.10009765625,11504.009765625,2101.0400390625
2015-03-06,6911.7998046875,11550.9697265625,2071.260009765625
2015-03-09,6876.5,11582.1103515625,2079.429931640625
2015-03-10,6702.7998046875,11500.3798828125,2044.1600341796875
2015-03-11,6721.5,11805.990234375,2040.239990234375
2015-03-12,6761.10009765625,11799.3896484375,2065.949951171875
2015-03-13,6740.60009765625,11901.6103515625,2053.39990234375
2015-03-16,6804.10009765625,12167.7197265625,2081.18994140625
2015-03-17,6837.60009765625,11980.849609375,2074.280029296875
2015-03-18,6945.2001953125,11922.76953125,2099.5
2015-03-19,6962.2998046875,11899.400390625,2089.27001953125
2015-03-20,7022.5,12039.3701171875,2108.10009765625
2015-03-23,7037.7001953125,11895.83984375,2104.419921875
2015-03-24,7019.7001953125,12005.6904296875,2091.5
2015-03-25,6991.0,11865.3203125,2061.050048828125
2015-03-26,6895.2998046875,11843.6796875,2056.14990234375
2015-03-27,6855.0,11868.330078125,2061.02001953125
2015-03-30,6891.39990234375,12086.009765625,2086.239990234375
2015-03-31,6773.0,11966.169921875,2067.889892578125
2015-04-01,6809.5,12001.3798828125,2059.68994140625
2015-04-02,6833.5,11967.3896484375,2066.9599609375
2015-04-07,6961.7998046875,12123.51953125,2076.330078125
2015-04-08,6937.39990234375,12035.8603515625,2081.89990234375
2015-04-09,7015.39990234375,12166.4404296875,2091.179931640625
2015-04-10,7089.7998046875,12374.73046875,2102.06005859375
2015-04-13,7064.2998046875,12338.73046875,2092.429931640625
2015-04-14,7075.2998046875,12227.599609375,2095.840087890625
2015-04-15,7096.7998046875,12231.33984375,2106.6298828125
2015-04-16,7060.5,11998.8603515625,2104.989990234375
2015-04-17,6994.60009765625,11688.7001953125,2081.179931640625
2015-04-20,7052.10009765625,11891.91015625,2100.39990234375
