date,spx,dax,ftse,nikkei
2015-01-02,2058.199951171875,9764.73046875,6547.7998046875,
2015-01-05,2020.5799560546875,9473.16015625,6417.2001953125,17408.7109375
2015-01-06,2002.6099853515625,9469.66015625,6366.5,16883.189453125
2015-01-07,2025.9000244140625,9518.1796875,6419.7998046875,16885.330078125
2015-01-08,2062.139892578125,9837.6103515625,6570.0,17167.099609375
2015-01-09,2044.81005859375,9648.5,6501.10009765625,17197.73046875
2015-01-12,2028.260009765625,9781.900390625,6501.39990234375,
2015-01-13,2023.030029296875,9941.0,6542.2001953125,17087.7109375
2015-01-14,2011.27001953125,9817.080078125,6388.5,16795.9609375
2015-01-15,1992.6700439453125,10032.6103515625,6498.7998046875,17108.69921875
2015-01-16,2019.4200439453125,10167.76953125,6550.2998046875,16864.16015625
2015-01-19,,10242.349609375,6585.5,17014.2890625
2015-01-20,2022.550048828125,10257.1298828125,6620.10009765625,17366.30078125
2015-01-21,2032.1199951171875,10299.23046875,6728.0,17280.48046875
2015-01-22,2063.14990234375,10435.6201171875,6796.60009765625,17329.01953125
2015-01-23,2051.820068359375,10649.580078125,6832.7998046875,17511.75
2015-01-26,2057.090087890625,10798.330078125,6852.39990234375,17468.51953125
2015-01-27,2029.550048828125,10628.580078125,6811.60009765625,17768.30078125
2015-01-28,2002.1600341796875,10710.9697265625,6825.89990234375,17795.73046875
2015-01-29,2021.25,10737.8701171875,6810.60009765625,17606.220703125
2015-01-30,1994.989990234375,10694.3203125,6749.39990234375,17674.390625
2015-02-02,2020.8499755859375,10828.009765625,6782.60009765625,17558.0390625
2015-02-03,2050.030029296875,10890.9501953125,6871.7998046875,17335.849609375
2015-02-04,2041.510009765625,10911.3203125,6860.0,17678.740234375
2015-02-05,2062.52001953125,10905.41015625,6865.89990234375,17504.619140625
2015-02-06,2055.469970703125,10846.3896484375,6853.39990234375,17648.5
2015-02-09,2046.739990234375,10663.509765625,6837.2001953125,17711.9296875
2015-02-10,2068.590087890625,10753.830078125,6829.10009765625,17652.6796875
2015-02-11,2068.530029296875,10752.1103515625,6818.2001953125,
2015-02-12,2088.47998046875,10919.650390625,6828.10009765625,17979.720703125
2015-02-13,2096.989990234375,10963.400390625,6873.5,17913.359375
2015-02-16,,10923.23046875,6857.10009765625,18004.76953125
2015-02-17,2100.340087890625,10895.6201171875,6898.10009765625,17987.08984375
2015-02-18,2099.679931640625,10961.0,6898.10009765625,18199.169921875
2015-02-19,2097.449951171875,11001.9404296875,6888.89990234375,18264.7890625
2015-02-20,2110.300048828125,11050.6396484375,6915.2001953125,18332.30078125
2015-02-23,2109.659912109375,11130.919921875,6912.2001953125,18466.919921875
2015-02-24,2115.47998046875,11205.740234375,6949.60009765625,18603.48046875
2015-02-25,2113.860107421875,11210.26953125,6935.39990234375,18585.19921875
2015-02-26,2110.739990234375,11327.1904296875,6949.7001953125,18785.7890625
2015-02-27,2104.5,11401.66015625,6946.7001953125,18797.939453125
2015-03-02,2117.389892578125,11410.3603515625,6940.60009765625,18826.880859375
2015-03-03,2107.780029296875,11280.3603515625,6889.10009765625,18815.16015625
2015-03-04,2098.530029296875,11390.3798828125,6919.2001953125,18703.599609375
2015-03-05,2101.0400390625,11504.009765625,6961.10009765625,18751.83984375
2015-03-06,2071.260009765625,11550.9697265625,6911.7998046875,18971.0
2015-03-09,2079.429931640625,11582.1103515625,6876.5,18790.55078125
2015-03-10,2044.1600341796875,11500.3798828125,6702.7998046875,18665.109375
2015-03-11,2040.239990234375,11805.990234375,6721.5,18723.51953125
2015-03-12,2065.949951171875,11799.3896484375,6761.10009765625,18991.109375
2015-03-13,2053.39990234375,11901.6103515625,6740.60009765625,19254.25
2015-03-16,2081.18994140625,12167.7197265625,6804.10009765625,19246.060546875
2015-03-17,2074.280029296875,11980.849609375,6837.60009765625,19437.0
2015-03-18,2099.5,11922.76953125,6945.2001953125,19544.48046875
2015-03-19,2089.27001953125,11899.400390625,6962.2998046875,19476.560546875
2015-03-20,2108.10009765625,12039.3701171875,7022.5,19560.220703125
2015-03-23,2104.419921875,11895.83984375,7037.7001953125,19754.359375
2015-03-24,2091.5,12005.6904296875,7019.7001953125,19713.44921875
2015-03-25,2061.050048828125,11865.3203125,6991.0,19746.19921875
2015-03-26,2056.14990234375,11843.6796875,6895.2998046875,19471.119140625
2015-03-27,2061.02001953125,11868.330078125,6855.0,19285.630859375
2015-03-30,2086.239990234375,12086.009765625,6891.39990234375,19411.400390625
2015-03-31,2067.889892578125,11966.169921875,6773.0,19206.990234375
2015-04-01,2059.68994140625,12001.3798828125,6809.5,19034.83984375
2015-04-02,2066.9599609375,11967.3896484375,6833.5,19312.7890625
2015-04-03,,,,19435.080078125
2015-04-06,2080.6201171875,,,19397.98046875
2015-04-07,2076.330078125,12123.51953125,6961.7998046875,19640.5390625
2015-04-08,2081.89990234375,12035.8603515625,6937.39990234375,19789.810546875
2015-04-09,2091.179931640625,12166.4404296875,7015.39990234375,19937.720703125
2015-04-10,2102.06005859375,12374.73046875,7089.7998046875,19907.630859375
2015-04-13,2092.429931640625,12338.73046875,7064.2998046875,19905.4609375
