"Date","Adj.Close"
2015-01-02,39.6071701049805
2015-01-05,39.2429618835449
2015-01-06,38.6669769287109
2015-01-07,39.1582489013672
2015-01-08,40.3102035522461
2015-01-09,39.9713973999023
2015-01-12,39.4716529846191
2015-01-13,39.2683601379395
2015-01-14,38.9295501708984
2015-01-15,38.5229797363281
2015-01-16,39.1667366027832
2015-01-20,39.2937698364258
2015-01-21,38.8956832885742
2015-01-22,39.9206008911133
2015-01-23,39.9629325866699
2015-01-26,39.8189353942871
2015-01-27,36.1343612670898
2015-01-28,34.8891983032227
2015-01-29,35.5837860107422
2015-01-30,34.2200584411621
2015-02-02,34.9654579162598
2015-02-03,35.2364921569824
2015-02-04,35.4397773742676
2015-02-05,35.9564781188965
2015-02-06,35.9225959777832
2015-02-09,35.880241394043
2015-02-10,36.0835342407227
2015-02-11,35.8971672058105
2015-02-12,36.4985809326172
2015-02-13,37.159252166748
2015-02-17,37.176326751709
2015-02-18,37.1336708068848
2015-02-19,37.1080703735352
2015-02-20,37.4151649475098
2015-02-23,37.6625633239746
2015-02-24,37.6113700866699
2015-02-25,37.5260696411133
2015-02-26,37.5857810974121
2015-02-27,37.4066429138184
2015-03-02,37.4322319030762
2015-03-03,36.9204025268555
2015-03-04,36.7327270507812
2015-03-05,36.7753791809082
2015-03-06,36.1356010437012
2015-03-09,36.553581237793
2015-03-10,35.8540725708008
2015-03-11,35.8114128112793
2015-03-12,34.9924964904785
2015-03-13,35.2995948791504
2015-03-16,35.4531478881836
2015-03-17,35.5725708007812
2015-03-18,36.255012512207
2015-03-19,36.0758857727051
2015-03-20,36.5791702270508
2015-03-23,36.5621109008789
2015-03-24,36.5962371826172
2015-03-25,35.3678359985352
2015-03-26,35.1545715332031
2015-03-27,34.9498405456543
2015-03-30,34.9413032531738
2015-03-31,34.6853904724121
2015-04-01,34.7365684509277
2015-04-02,34.3697509765625
2015-04-06,35.4446029663086
2015-04-07,35.4275398254395
2015-04-08,35.3337135314941
2015-04-09,35.3849029541016
2015-04-10,35.5896301269531
2015-04-13,35.6237525939941
2015-04-14,35.529914855957
2015-04-15,36.0502853393555
2015-04-16,35.964973449707
2015-04-17,35.5043182373047
2015-04-20,36.6047706604004
2015-04-21,36.3744468688965
2015-04-22,36.6730155944824
2015-04-23,36.9715805053711
2015-04-24,40.8359451293945
2015-04-27,40.9724426269531
2015-04-28,41.9363899230957
2015-04-29,41.8510818481445
2015-04-30,41.4927940368652
2015-05-01,41.5098609924316
2015-05-04,41.1515769958496
2015-05-05,40.6056213378906
2015-05-06,39.4795722961426
2015-05-07,39.8378601074219
2015-05-08,40.7335739135742
2015-05-11,40.4094123840332
2015-05-12,40.3923683166504
2015-05-13,40.6312141418457
2015-05-14,41.5610389709473
2015-05-15,41.2027626037598
2015-05-18,40.9553680419922
2015-05-19,40.8523406982422
2015-05-20,40.8523406982422
2015-05-21,40.7149543762207
2015-05-22,40.2684936523438
2015-05-26,40.0023193359375
2015-05-27,40.878101348877
2015-05-28,40.7407302856445
2015-05-29,40.2341346740723
2015-06-01,40.5518264770508
2015-06-02,40.2856597900391
2015-06-03,40.2255630493164
2015-06-04,39.8048477172852
2015-06-05,39.6159439086914
2015-06-08,39.2639122009277
2015-06-09,39.1952362060547
2015-06-10,40.0195045471191
2015-06-11,39.8735275268555
2015-06-12,39.4699897766113
2015-06-15,39.0492782592773
2015-06-16,39.3497734069824
2015-06-17,39.4699897766113
2015-06-18,40.113941192627
2015-06-19,39.5816040039062
2015-06-22,39.6932411193848
2015-06-23,39.4184646606445
2015-06-24,39.1866455078125
2015-06-25,39.1952362060547
2015-06-26,38.8603820800781
2015-06-29,38.0962257385254
2015-06-30,37.9073295593262
2015-07-01,38.1649169921875
2015-07-02,38.1219902038574
2015-07-06,38.1134071350098
2015-07-07,38.0361137390137
2015-07-08,37.9846000671387
2015-07-09,38.2250022888184
2015-07-10,38.3022956848145
2015-07-13,39.1007804870605
2015-07-14,39.1694793701172
2015-07-15,39.289680480957
2015-07-16,40.0624313354492
2015-07-17,40.0280990600586
2015-07-20,40.2856597900391
2015-07-21,40.5947570800781
2015-07-22,39.1007804870605
2015-07-23,39.5901947021484
2015-07-24,39.4442329406738
2015-07-27,38.9376525878906
2015-07-28,38.929084777832
2015-07-29,39.744743347168
2015-07-30,40.2513198852539
2015-07-31,40.0967597961426
2015-08-03,40.1912117004395
2015-08-04,40.8179969787598
2015-08-05,40.8523406982422
2015-08-06,40.0280990600586
2015-08-07,40.1311149597168
2015-08-10,40.6376914978027
2015-08-11,39.8477783203125
2015-08-12,40.1311149597168
2015-08-13,40.1225357055664
2015-08-14,40.3543548583984
2015-08-17,40.6291122436523
2015-08-18,40.8538246154785
2015-08-19,40.2834014892578
2015-08-20,39.4623489379883
2015-08-21,37.2239036560059
2015-08-24,36.0225677490234
2015-08-25,34.976806640625
2015-08-26,36.9127616882324
2015-08-27,37.9412460327148
2015-08-28,37.9671630859375
2015-08-31,37.6128234863281
2015-09-01,36.1435737609863
2015-09-02,37.4745330810547
2015-09-03,37.5955352783203
2015-09-04,36.8263206481934
2015-09-08,37.9325981140137
2015-09-09,37.2239036560059
2015-09-10,37.4140434265137
2015-09-11,37.5782470703125
2015-09-14,37.1979751586914
2015-09-15,38.0103797912598
2015-09-16,38.2869338989258
2015-09-17,38.2437438964844
2015-09-18,37.5782470703125
2015-09-21,38.1227378845215
2015-09-22,37.9412460327148
2015-09-23,37.9153137207031
2015-09-24,37.949893951416
2015-09-25,37.9758186340332
2015-09-28,37.4140434265137
2015-09-29,37.5436706542969
2015-09-30,38.2523803710938
2015-10-01,38.554874420166
2015-10-02,39.3845710754395
2015-10-05,40.3006820678711
2015-10-06,40.4043922424316
2015-10-07,40.4476051330566
2015-10-08,41.009391784668
2015-10-09,40.7155227661133
2015-10-12,40.6204643249512
2015-10-13,40.5253982543945
2015-10-14,40.3438987731934
2015-10-15,40.6291046142578
2015-10-16,41.0612335205078
2015-10-19,41.156322479248
2015-10-20,41.2859573364258
2015-10-21,40.7932968139648
2015-10-22,41.5106658935547
2015-10-23,45.6936874389648
2015-10-26,46.8863754272461
2015-10-27,46.4023933410645
2015-10-28,46.6530265808105
2015-10-29,46.1171951293945
2015-10-30,45.4949150085449
2015-11-02,46.0134696960449
2015-11-03,46.7999534606934
2015-11-04,47.0160255432129
2015-11-05,46.9987449645996
2015-11-06,47.4654350280762
2015-11-09,46.80859375
2015-11-10,46.2468414306641
2015-11-11,46.3678283691406
2015-11-12,46.0826148986816
2015-11-13,45.6677627563477
2015-11-16,46.4715423583984
2015-11-17,46.0886917114258
2015-11-18,46.854377746582
2015-11-19,46.9326858520508
2015-11-20,47.1502151489258
2015-11-23,47.1502151489258
2015-11-24,47.2024002075195
2015-11-25,46.7151641845703
2015-11-27,46.9239807128906
2015-11-30,47.2894248962402
2015-12-01,48.0463981628418
2015-12-02,48.0376930236816
2015-12-03,47.1589164733887
2015-12-04,48.6467628479004
2015-12-07,48.559757232666
2015-12-08,48.5423583984375
2015-12-09,47.8375701904297
2015-12-10,48.0899200439453
2015-12-11,47.0370979309082
2015-12-14,47.9768028259277
2015-12-15,48.028995513916
2015-12-16,48.8381843566895
2015-12-17,48.4640426635742
2015-12-18,47.0980033874512
2015-12-21,47.7070732116699
2015-12-22,48.1595153808594
2015-12-23,48.5684432983398
2015-12-24,48.4379272460938
2015-12-28,48.681568145752
2015-12-29,49.2036247253418
2015-12-30,48.9947929382324
2015-12-31,48.272632598877
2016-01-04,47.6809577941895
2016-01-05,47.8984794616699
2016-01-06,47.0284004211426
